Timestamp start: 1747265176814
Timestamp end: 1747266077065

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      203.0   119.7    50.7    86.7    96.4   174.2   225.8   257.8   281.4   308.7   342.6   398.1   557.2   947.2  2832.7  97636.8    97783
read      193.3   140.9    50.7    87.7    97.5   171.1   215.5   242.4   263.2   287.4   316.5   359.2   443.4   960.0  3384.6 119029.0   118966
read      181.0    77.7    54.7    90.6   103.7   177.6   201.4   215.0   224.9   235.8   252.5   277.5   335.5   646.3  3035.0  16587.0    16631
read      174.9    79.8    54.7    88.9   101.9   170.4   194.4   207.8   217.0   228.4   243.2   268.3   324.4   638.9  3506.1  11670.8    11743
read      215.1   153.1    50.7    89.0    99.5   177.1   223.6   253.6   277.8   307.4   347.5   441.5   875.5  1379.7  2370.6 114990.8   115026
read      191.6    98.8    54.7    87.9    97.9   171.1   214.4   240.5   261.0   284.6   313.8   356.2   436.5   798.9  2875.8 122262.8   122371
read      157.0    56.5    59.1    88.5    99.6   154.0   171.5   181.5   188.4   198.1   210.9   231.7   288.7   633.0  1132.8   7264.6     7198
read      203.9   229.3    50.7    87.3    99.6   193.9   229.5   249.3   263.7   279.6   298.4   328.5   394.3   821.6 11111.0  24892.4    25022
read      286.7   276.2    54.7   107.2   123.9   227.0   280.3   312.5   338.1   372.1   427.2   550.6  1564.5  2686.1  7098.8 157226.2   157513
read      234.6   123.8    54.7   110.2   126.0   215.2   259.6   286.7   307.1   332.3   366.2   420.1   527.2   968.2  2648.8 172218.8   171975
read      204.5   103.9    54.7    98.0   110.4   186.6   227.2   251.1   269.1   290.4   317.2   359.7   458.0  1057.6  3056.2 154926.2   154918
read      193.4    93.2    54.7    91.8   102.4   175.0   215.5   239.5   258.5   280.7   308.9   349.4   432.0   898.7  1743.9 139478.4   139185
read      194.6    96.8    54.7    95.0   106.0   176.6   215.5   238.6   256.5   277.5   304.0   342.9   429.3   975.9  2801.7 152578.6   152724
read      187.1   142.7    50.7    90.7   104.4   180.2   205.5   219.7   230.1   242.6   259.6   287.1   354.7  1746.7  6293.9  20795.0    20845
read      236.7   259.3    50.7    91.5   102.7   179.4   221.9   247.2   266.6   290.6   324.4   427.2  1477.7  2371.0  5246.8 140556.6   140348
read      188.5    93.3    50.7    84.5    94.1   171.3   220.4   245.4   262.9   282.3   305.8   339.4   404.9   535.6  2895.1  88807.6    88725
read      181.9    93.5    54.7    86.3    96.0   162.5   201.9   227.1   245.6   267.7   294.7   333.4   409.3   775.2  2592.2 133881.4   134088
read      203.8   115.6    50.7    83.4    93.5   187.1   236.8   264.3   283.8   306.6   334.8   376.7   465.5  1010.4  2960.4  66161.8    66126
read      206.9   135.3    50.7    83.3    93.1   180.3   235.5   267.7   289.9   315.2   347.0   398.5   509.6  1481.4  3712.1  77954.8    78214
read      214.2   117.5    50.7    81.7    91.5   198.5   254.8   286.4   307.0   329.2   355.5   392.5   468.0  1018.8  3069.3  55212.4    55191
read      214.3   111.5    46.9    82.2    92.1   198.7   254.7   285.8   306.3   328.7   355.6   393.4   473.3   879.6  1922.0  54086.4    54081
read      205.5   176.2    50.7    85.5    95.3   167.9   216.9   249.1   273.7   303.8   343.5   418.1   637.9  1867.3  5994.2 112483.4   112478
read      202.1   100.1    54.7   102.3   115.1   187.6   223.9   245.1   261.1   279.7   304.2   341.1   422.5   864.3  3258.9 179796.8   179666
read      188.7   106.2    50.7    84.1    93.7   166.2   214.5   242.8   263.2   285.8   312.8   351.3   433.7   757.6  2951.8 100639.0   100584
read      184.2    90.7    54.7    86.2    95.8   163.4   204.6   231.2   251.0   274.4   303.6   343.6   423.7   670.3  2272.9 128196.6   127920
read      145.2    49.9    54.7    82.2    92.1   141.8   159.3   169.0   176.0   184.9   197.0   215.5   271.3   629.6  1253.8   6624.6     6594
read      202.1   215.4    50.7    90.6   103.8   191.7   225.6   243.3   256.1   271.7   290.8   318.3   384.2  1017.9  9878.9  24867.0    25020
read      276.4   362.0    50.7    92.3   104.4   193.2   243.0   273.3   296.3   325.2   370.2  1079.6  1672.1  3362.8 11385.4 129564.2   129587
read      166.4    67.5    59.1    88.8   102.0   163.9   183.5   194.2   201.5   212.1   225.4   247.3   304.2   626.8  1611.8  10255.8    10277
